Chain: polkadot; replacing 13 bootnode(s) with /ip4/127.0.0.1/tcp/30333/ws/p2p/12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWCNSzFL1NFjZiHeidsrbEkMttFqbP87urZcPW19vDBBdQ, addr=/ip4/198.13.130.176/tcp/6476, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/51402/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/52228/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/46732/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/47736/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/44530/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/50532/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/54610/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/35236/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/46974/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWAyPYmcm6WNBJyULYEuA4F8agfP8nrDayGR2rXqxbMBWC, addr=/ip4/87.117.123.117/tcp/30007, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/48310/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/34122/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/45174/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/52764/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/35190/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/50800/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/33462/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/52596/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/60168/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWB6cNdkuqsEjQV8ZKFC7GRpFTKE2UfAQxGX25KGgCzjQw, addr=/ip4/87.117.123.118/tcp/30009, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQskPYqD4xo7WuAczKm5B9PQ9mzKUUaA3JpRZs9BDpM4T, addr=/ip4/188.36.82.36/tcp/4440, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/35992/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/36222/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/37734/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/58744/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/57934/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/56076/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/37866/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/35964/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWQNWcYKdne5qF1i3SM2zV3uxjccaYxHqmqwSPtXsS1mjC, addr=/ip4/65.109.125.144/tcp/57318/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWLFqo8pSthrt3EFqB5fUEcg5QmQHAicavAVeHXmhH2nyX, addr=/ip4/92.249.167.64/tcp/4440, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.74/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.72/tcp/443/wss, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.74/tcp/31960, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.32/tcp/54599, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/dns4/polkadot-mainnet-bootnode.linkpool.com/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.32/tcp/55017, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.32/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/ip4/89.107.20.19/tcp/31960, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/dns4/polkadot-mainnet-bootnode-p2p.linkpool.com/tcp/30334/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWDtV5eraHDay51Xe22No8Mro5nYauEsuUQRowX4rSQbRX, addr=/dns4/polkadot-mainnet-bootnode.linkpool.com/tcp/443/wss, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/41842/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/44512/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/64126, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/30335, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/10916, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/dns/d7tptks4uooc73d1e7h0.bdnodes.net/tcp/30335, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/50974/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/54448, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/36676/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWC7JvHYEJbxm5fa1bizuikebG9E47UVfyNKNepF1JDayc, addr=/ip4/64.130.61.172/tcp/46934, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/49064/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/54540/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/40542/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/30008, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/41304/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/57748/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/41892/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/52936/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/46338/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWBYzSDhH4QUnQeBYiECEhpjpSzCptrff779n3CaBjqGSj, addr=/ip4/87.117.123.117/tcp/30008/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/45528/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/46128/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/55952/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/46838/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/30333, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/34798/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/43046/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/43844/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/37410/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWHNNte6fNi3WU2seKKyDS1hLsPM8k2dyjHK2Gc1uKbbJ7, addr=/ip4/173.201.37.188/tcp/38198/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/53780/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/52034/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/58714/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/50002/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/59600/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/41734/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/43756/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/60904/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/35172/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[DEBUG] [network] discovered-address-not-supported; chain=polkadot, peer_id=12D3KooWPEk2VtPbJmQCeLw8KEogxZyu9fBAgkPHEoZU85usxVsX, addr=/ip4/87.117.123.119/tcp/50288/ws, obtained_from=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m
[WARN] [sync-service-polkadot] GrandPa warp sync idle at block #0 (0x0x91b1…90c3)
[DEBUG] [network] connection-shutdown; peer_id=12D3KooWNwcEV1oBLxHrwQaowyS9pdH267X46CoaovNZiKRpu32m, address=/ip4/127.0.0.1/tcp/30333/ws, handshake_finished=true
[DEBUG] [network] discovery-skipped-no-peer; chain=polkadot
[WARN] [sync-service-polkadot] GrandPa warp sync idle at block #0 (0x0x91b1…90c3)
